Brand,Product Name,Rating,No. of Ratings,Discounted Price,Original Price,Discount,Offer Price
AJMAL,Silver Shade EDP 100 ml,4,200,"₹1,200","₹2,000",(40% off),₹880
AZZARO,The Most Wanted Eau De Parfum Intense Spray,4.3,84,"₹9,200",N/A,N/A,"₹7,200"
CALVIN KLEIN,One Eau De Toilette,3.9,102,"₹3,868","₹5,950",(35% off),"₹3,768"
VALENTINO,Born In Roma Uomo Coral Eau De Toilette,4.1,29,"₹8,500",N/A,N/A,"₹6,500"
VILLAIN,Eau De Parfum Premium Long Lasting Fragrance Spray - Woody & Spicy,N/A,N/A,₹360,₹799,(55% off),₹296
SCOTCH & SODA,Barfly Eau De Toilette - 100 ml,4.1,19,"₹5,999",N/A,N/A,"₹4,679"
AJMAL,Kuro Eau De Parfum,3.9,100,"₹2,400","₹3,000",(20% off),"₹1,740"
WILD STONE,Wild Stone Edge Eau De Parfum,4.2,386,₹350,₹699,(50% off),₹266
SCOTCH & SODA,Barfly Eau De Toilette,4,23,"₹3,999",N/A,N/A,"₹2,799"
CALVIN KLEIN,Defy Eau De Parfum,4.2,12,"₹5,753","₹8,850",(35% off),"₹5,653"
WILD STONE,Code Platinum Deodorant Body Perfume,3.8,35,₹193,₹275,(30% off),₹169
VALENTINO,Born In Roma Uomo Eau De Toilette,4.2,9,"₹6,400",N/A,N/A,"₹4,736"
Beardo,Origin Eau De Parfum,3.9,708,₹324,"₹1,200",(73% off),₹300
VILLAIN,Luxury Party Combo Pack of 2 Premium Long Lasting Perfume for Men,N/A,N/A,₹639,"₹1,598",(60% off),₹527
Beardo,Whisky Smoke Bourbon & Mariner Eau De Parfum Combo,4.1,126,₹500,"₹1,998",(75% off),₹462
WILD STONE,Hydra Energy Eau De Parfum,4.2,224,₹325,₹649,(50% off),₹247
JAGUAR,Classic Black Eau de Toilette,3.9,260,"₹2,665","₹4,100",(35% off),"₹2,091"
SNITCH,Snitch Tonka Al Arabia Perfume,4,7,₹824,"₹1,499",(45% off),₹724
TOMMY HILFIGER,Eau de Toilette -100 ml,4.6,9,"₹3,480","₹5,800",(40% off),"₹2,726"
WILD STONE,Hydra Energy Eau De Parfum,4,189,₹279,₹399,(30% off),₹227
